                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.91399,                0.59196,                 1.0224,                0.84485,                 0.8133,                0.86875,                 0.5956,                 1.0864,                0.72127,                 1.0841,             0.00077582,             0.00077582,             0.00077582
                     56,                0.92109,                0.58793,                 1.0258,                0.81352,                0.84289,                0.87928,                 0.6136,                 1.0772,                0.70268,                 1.0696,             0.00075932,             0.00075932,             0.00075932
                     57,                0.90298,                0.57218,                 1.0174,                0.83673,                 0.8553,                0.88151,                0.61189,                 1.0811,                0.68005,                 1.0739,             0.00074282,             0.00074282,             0.00074282
                     58,                0.89936,                0.58405,                 1.0115,                0.82906,                0.84807,                0.86778,                0.60463,                 1.0727,                  0.683,                 1.0713,             0.00072631,             0.00072631,             0.00072631
                     59,                0.92965,                0.58942,                 1.0213,                0.84527,                 0.8377,                0.89781,                 0.6244,                 1.0795,                0.67049,                 1.0644,             0.00070981,             0.00070981,             0.00070981
                     60,                0.90085,                0.55958,                 1.0032,                0.86117,                0.81816,                0.87505,                0.61139,                 1.0674,                0.67678,                  1.062,             0.00069331,             0.00069331,             0.00069331
                     61,                0.90043,                0.57774,                 1.0061,                0.83002,                0.84017,                0.87458,                0.59911,                 1.0653,                 0.6878,                 1.0565,              0.0006768,              0.0006768,              0.0006768
                     62,                0.89331,                0.56937,                 1.0025,                0.81376,                0.82761,                 0.8844,                0.61279,                 1.0795,                0.69637,                 1.0662,              0.0006603,              0.0006603,              0.0006603
                     63,                0.88456,                 0.5499,                 1.0088,                0.87049,                0.80124,                0.86781,                 0.6137,                 1.0561,                0.69117,                 1.0575,              0.0006438,              0.0006438,              0.0006438
                     64,                0.88337,                0.54664,                0.99358,                0.83076,                0.84868,                0.88617,                0.62527,                 1.0525,                0.67807,                  1.059,             0.00062729,             0.00062729,             0.00062729
                     65,                0.88996,                0.54804,                 1.0042,                 0.8119,                0.85957,                0.87658,                0.61753,                 1.0592,                0.70676,                 1.0629,             0.00061079,             0.00061079,             0.00061079
                     66,                0.86896,                0.55127,                 1.0009,                0.85615,                0.80756,                 0.8792,                0.61628,                 1.0472,                 0.6798,                 1.0614,             0.00059429,             0.00059429,             0.00059429
                     67,                0.87588,                0.54357,                0.99594,                 0.8664,                0.82047,                0.89526,                0.63149,                 1.0491,                0.66495,                  1.058,             0.00057778,             0.00057778,             0.00057778
                     68,                0.87568,                0.54968,                 0.9983,                0.82629,                0.85389,                0.88008,                0.61037,                 1.0664,                0.71538,                 1.0552,             0.00056128,             0.00056128,             0.00056128
                     69,                0.88644,                0.54523,                0.99795,                0.83698,                0.85325,                0.88387,                0.61438,                 1.0775,                0.67113,                 1.0667,             0.00054478,             0.00054478,             0.00054478
                     70,                0.86678,                0.53063,                0.99111,                0.82068,                0.85472,                0.89077,                0.63186,                 1.0625,                 0.6611,                 1.0496,             0.00052827,             0.00052827,             0.00052827
                     71,                0.86065,                0.53334,                0.99351,                0.83323,                0.82671,                0.87949,                0.60967,                 1.0938,                0.67289,                 1.0776,             0.00051177,             0.00051177,             0.00051177
                     72,                0.86938,                0.51938,                0.99049,                0.84364,                0.80407,                0.86712,                0.60978,                 1.0727,                 0.7038,                  1.068,             0.00049527,             0.00049527,             0.00049527
                     73,                0.86324,                0.52236,                0.99064,                0.85754,                0.82862,                0.88532,                0.62903,                  1.058,                 0.6716,                 1.0612,             0.00047876,             0.00047876,             0.00047876
                     74,                0.82554,                0.50998,                0.97064,                0.86641,                0.82401,                0.89172,                0.62243,                 1.0742,                0.66377,                  1.068,             0.00046226,             0.00046226,             0.00046226
                     75,                0.83016,                0.51376,                 0.9776,                0.85557,                0.83905,                0.89098,                0.62827,                 1.0644,                0.66144,                 1.0632,             0.00044576,             0.00044576,             0.00044576
                     76,                0.83292,                0.50358,                0.97007,                0.87493,                0.82146,                0.88339,                0.62858,                 1.0686,                0.66949,                 1.0626,             0.00042925,             0.00042925,             0.00042925
                     77,                0.82523,                0.50285,                0.98025,                0.86064,                0.83597,                0.89945,                0.62219,                 1.0602,                0.65486,                 1.0654,             0.00041275,             0.00041275,             0.00041275
                     78,                0.83349,                0.50174,                0.98003,                0.83247,                0.85149,                0.89406,                0.63218,                 1.0491,                0.66028,                 1.0556,             0.00039625,             0.00039625,             0.00039625
                     79,                0.83291,                0.49698,                 0.9765,                 0.8403,                0.84925,                0.89574,                0.64018,                 1.0451,                0.65037,                 1.0536,             0.00037974,             0.00037974,             0.00037974
                     80,                0.84642,                 0.4947,                0.98218,                0.84119,                0.85091,                 0.8915,                0.62871,                 1.0671,                0.64348,                 1.0645,             0.00036324,             0.00036324,             0.00036324
                     81,                0.81744,                0.48933,                0.97015,                0.82432,                0.86011,                0.89049,                0.62792,                 1.0715,                0.65227,                 1.0682,             0.00034674,             0.00034674,             0.00034674
                     82,                0.83818,                0.50481,                0.97588,                 0.8335,                0.85165,                0.88243,                 0.6197,                 1.0737,                0.64897,                 1.0642,             0.00033023,             0.00033023,             0.00033023
                     83,                0.79674,                0.48555,                0.96277,                0.83341,                0.85745,                0.89439,                0.63258,                 1.0762,                0.65022,                 1.0687,             0.00031373,             0.00031373,             0.00031373
                     84,                  0.822,                0.48747,                0.97613,                0.84047,                0.84685,                 0.8964,                0.62415,                 1.0667,                0.65071,                 1.0576,             0.00029723,             0.00029723,             0.00029723
                     85,                0.79576,                0.47882,                 0.9608,                0.86075,                0.83498,                0.89803,                0.62848,                  1.063,                0.64665,                 1.0553,             0.00028072,             0.00028072,             0.00028072
                     86,                0.79887,                0.47467,                0.96855,                0.83829,                0.84187,                0.89385,                0.62798,                 1.0605,                0.64801,                 1.0529,             0.00026422,             0.00026422,             0.00026422
                     87,                 0.8205,                0.47925,                0.97893,                 0.8489,                0.84469,                0.89647,                0.63472,                  1.062,                0.64098,                 1.0582,             0.00024772,             0.00024772,             0.00024772
                     88,                0.79209,                0.48047,                 0.9585,                 0.8598,                0.81836,                0.89576,                0.62661,                 1.0572,                0.63365,                 1.0566,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.7933,                 0.4657,                0.96075,                0.85158,                0.83947,                0.88919,                0.63079,                  1.051,                0.65756,                 1.0545,             0.00021471,             0.00021471,             0.00021471
                     90,                0.78325,                0.46151,                0.95612,                0.81687,                0.85925,                0.89037,                0.62364,                 1.0641,                0.64675,                 1.0546,             0.00019821,             0.00019821,             0.00019821
                     91,                0.76551,                0.41911,                0.94173,                0.85887,                0.82074,                0.89208,                0.63025,                 1.0569,                0.64072,                 1.0553,              0.0001817,              0.0001817,              0.0001817
                     92,                0.75092,                0.40725,                0.93899,                0.83601,                 0.8447,                0.89117,                0.63267,                 1.0709,                0.63728,                 1.0697,              0.0001652,              0.0001652,              0.0001652
                     93,                0.74268,                0.39962,                0.93039,                0.85438,                0.84121,                0.89058,                0.62815,                 1.0691,                0.65304,                 1.0633,              0.0001487,              0.0001487,              0.0001487
                     94,                0.74861,                0.40088,                0.93251,                0.83899,                0.86404,                0.89851,                0.64079,                  1.056,                0.64293,                 1.0555,             0.00013219,             0.00013219,             0.00013219
                     95,                0.72845,                0.39262,                0.92708,                0.83793,                0.86955,                0.89873,                0.64102,                 1.0603,                0.62789,                 1.0585,             0.00011569,             0.00011569,             0.00011569
                     96,                0.72344,                0.39359,                0.92266,                0.87022,                0.84598,                0.89742,                0.63811,                 1.0562,                0.63087,                  1.061,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.72978,                0.39665,                0.92388,                0.86512,                0.84377,                0.89511,                0.63461,                   1.05,                0.64029,                 1.0595,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.71153,                0.38358,                0.91773,                0.84983,                0.86406,                0.89762,                0.63506,                 1.0561,                0.63941,                 1.0569,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.71436,                0.38422,                0.91742,                0.86664,                0.84129,                0.89178,                0.63176,                 1.0589,                0.63969,                  1.057,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.71491,                0.38185,                0.91723,                0.85812,                0.85772,                0.89334,                0.63368,                 1.0591,                0.63954,                 1.0583,             3.3173e-05,             3.3173e-05,             3.3173e-05
